produit, qte
110, 61
698, 51
995, 50
251, 50
858, 49
313, 49
223, 48
952, 48
451, 46
966, 45
515, 45
892, 45
420, 45
601, 44
373, 44
757, 43
192, 43
278, 42
784, 42
139, 42
560, 41
821, 41
10, 41
424, 41
983, 40
72, 40
157, 40
45, 40
176, 40
393, 39
363, 39
191, 39
599, 39
231, 39
999, 39
2, 38
583, 38
328, 38
381, 38
702, 38
432, 38
336, 37
469, 37
836, 37
127, 37
252, 37
349, 37
436, 37
659, 37
753, 37
121, 37
201, 37
734, 36
782, 36
837, 36
807, 36
937, 36
43, 36
688, 35
131, 35
305, 35
806, 35
716, 35
431, 35
805, 35
844, 35
936, 35
146, 35
964, 34
322, 34
967, 34
371, 34
523, 34
135, 33
717, 33
129, 33
172, 33
272, 33
491, 33
173, 33
663, 33
690, 33
478, 33
612, 33
749, 33
500, 33
676, 33
344, 33
916, 33
647, 33
288, 33
144, 32
791, 32
853, 32
282, 32
798, 32
262, 32
233, 32
106, 32
28, 32
