produit, qte
532, 66
303, 61
612, 53
213, 52
981, 51
205, 51
96, 51
155, 49
826, 49
73, 48
646, 48
504, 46
288, 45
979, 45
670, 45
932, 44
234, 43
242, 43
850, 42
468, 42
172, 42
614, 42
913, 42
422, 41
481, 41
126, 41
975, 41
296, 41
129, 40
958, 40
137, 40
385, 39
557, 39
708, 39
724, 39
186, 39
397, 38
907, 38
331, 38
64, 38
343, 38
124, 38
135, 38
140, 37
390, 37
269, 37
35, 37
423, 36
55, 36
749, 36
594, 36
992, 36
679, 36
452, 36
450, 36
281, 36
333, 35
268, 35
526, 35
725, 35
464, 35
318, 35
211, 35
602, 35
899, 35
110, 35
254, 35
284, 35
277, 34
431, 34
760, 34
667, 34
636, 34
75, 34
884, 34
273, 34
892, 33
893, 33
971, 33
999, 33
132, 33
22, 33
187, 33
138, 33
182, 33
337, 32
753, 32
616, 32
1, 32
653, 32
72, 32
41, 32
477, 32
982, 32
988, 32
762, 32
799, 32
472, 32
154, 31
998, 31
