produit, qte
789, 62
671, 59
635, 55
595, 53
540, 52
435, 49
38, 49
488, 47
727, 47
606, 47
489, 47
890, 46
330, 46
529, 46
550, 46
734, 46
137, 45
835, 45
821, 45
935, 44
909, 44
615, 43
182, 43
815, 43
817, 43
384, 43
672, 42
277, 41
78, 41
905, 41
66, 41
539, 41
460, 40
760, 40
747, 40
960, 40
499, 40
541, 40
590, 39
309, 39
940, 39
971, 38
839, 38
406, 38
470, 38
764, 38
150, 38
980, 38
796, 38
895, 37
919, 37
994, 37
663, 36
152, 36
556, 36
437, 36
819, 35
441, 35
939, 35
40, 35
510, 35
784, 35
656, 35
684, 35
799, 35
989, 35
133, 35
479, 35
347, 34
745, 34
143, 34
668, 34
357, 34
402, 34
594, 34
249, 34
175, 34
585, 34
916, 34
228, 34
701, 34
771, 33
434, 33
991, 33
260, 33
274, 33
57, 33
497, 33
562, 33
307, 33
548, 33
12, 32
231, 32
542, 32
794, 32
240, 32
694, 32
308, 32
51, 32
756, 32
