produit, qte
987, 61
517, 54
193, 53
178, 53
520, 50
795, 49
968, 48
710, 47
419, 47
415, 45
260, 45
296, 45
130, 45
505, 45
310, 44
589, 43
977, 43
775, 43
903, 43
346, 42
20, 42
501, 42
739, 41
952, 41
584, 41
79, 41
851, 41
361, 41
386, 40
733, 40
588, 39
506, 39
807, 39
599, 39
496, 38
339, 38
268, 38
280, 38
330, 38
253, 38
989, 38
762, 37
650, 37
332, 37
821, 36
227, 36
137, 36
96, 36
568, 36
800, 36
590, 35
344, 35
371, 35
117, 35
164, 35
611, 35
243, 35
410, 35
620, 35
271, 35
737, 34
867, 34
240, 34
425, 34
36, 34
66, 34
782, 34
997, 34
329, 34
781, 34
19, 34
666, 33
357, 33
669, 33
931, 33
797, 33
0, 33
555, 33
438, 33
76, 33
722, 33
398, 32
270, 32
287, 32
804, 32
798, 32
70, 32
454, 32
769, 32
461, 32
441, 32
542, 32
943, 32
362, 32
911, 32
829, 32
837, 32
848, 32
363, 32
294, 32
