produit, qte
111, 61
615, 58
841, 58
231, 54
988, 51
92, 49
608, 49
191, 48
411, 48
483, 46
39, 45
514, 45
64, 45
317, 44
376, 43
258, 43
570, 42
760, 42
507, 42
712, 42
457, 42
257, 41
797, 41
873, 41
699, 41
885, 40
543, 40
133, 39
198, 39
254, 39
333, 39
14, 39
738, 39
709, 39
84, 38
402, 38
827, 37
544, 37
526, 37
872, 37
852, 37
705, 37
580, 37
157, 37
605, 36
573, 36
271, 36
226, 36
237, 36
883, 36
314, 36
954, 36
487, 36
561, 36
136, 35
0, 35
870, 35
227, 35
68, 35
819, 35
857, 35
916, 35
902, 35
420, 35
737, 35
188, 35
695, 35
47, 34
925, 34
170, 34
373, 34
332, 34
625, 34
11, 34
638, 34
219, 34
831, 34
655, 33
522, 33
451, 33
196, 33
920, 33
789, 33
556, 33
756, 33
115, 33
537, 33
386, 33
242, 33
305, 32
739, 32
704, 32
106, 32
121, 32
463, 32
387, 32
887, 32
419, 32
407, 32
895, 32
