produit, qte
886, 50
375, 49
110, 49
411, 46
574, 46
121, 45
276, 44
33, 43
556, 43
838, 42
884, 42
952, 42
98, 41
538, 41
833, 40
269, 40
71, 40
546, 40
29, 40
818, 39
89, 39
217, 39
30, 39
90, 39
728, 38
785, 38
50, 38
261, 38
253, 37
423, 37
302, 37
250, 37
428, 37
917, 37
168, 37
834, 36
463, 36
156, 36
573, 36
19, 36
933, 36
926, 36
345, 36
614, 36
522, 35
898, 35
301, 35
978, 35
430, 35
96, 34
620, 34
825, 34
22, 34
854, 34
208, 34
284, 34
436, 34
744, 34
710, 33
129, 33
255, 33
400, 33
355, 33
146, 33
323, 33
366, 33
777, 33
18, 33
998, 33
529, 33
861, 33
581, 33
876, 32
908, 32
799, 32
387, 32
445, 32
416, 32
140, 32
344, 32
880, 32
991, 32
227, 32
990, 32
957, 32
755, 31
823, 31
116, 31
53, 31
263, 31
796, 31
956, 31
468, 31
600, 31
313, 31
316, 31
612, 31
166, 31
443, 31
569, 31
