produit, qte
502, 59
826, 55
340, 54
852, 54
775, 50
232, 49
785, 49
393, 49
146, 48
645, 47
254, 46
568, 46
32, 46
493, 46
872, 45
992, 45
910, 45
628, 45
201, 45
730, 45
469, 45
241, 44
740, 44
375, 43
650, 43
297, 42
303, 42
81, 42
761, 42
968, 42
723, 41
922, 41
942, 41
181, 41
27, 40
327, 40
92, 40
404, 40
904, 40
613, 39
947, 39
157, 38
680, 38
777, 38
681, 38
833, 38
15, 38
600, 38
278, 37
5, 37
467, 37
191, 37
329, 37
250, 37
266, 37
55, 37
988, 37
350, 37
178, 37
517, 37
481, 37
885, 36
932, 36
129, 36
138, 36
757, 36
362, 36
572, 36
276, 36
466, 36
370, 35
105, 35
204, 35
119, 35
179, 35
245, 35
679, 34
894, 34
396, 34
820, 34
513, 34
533, 34
961, 34
315, 34
477, 34
14, 34
950, 33
786, 33
410, 33
880, 33
90, 33
311, 33
985, 33
474, 33
8, 33
892, 33
990, 33
726, 33
384, 32
261, 32
