produit, qte
571, 57
965, 49
437, 48
332, 46
335, 46
247, 46
320, 45
450, 44
96, 43
215, 43
456, 42
157, 42
889, 42
659, 42
871, 42
182, 42
116, 42
616, 42
455, 42
849, 41
428, 41
897, 41
535, 41
796, 41
410, 40
904, 40
861, 40
610, 39
817, 39
818, 39
661, 39
442, 38
463, 38
284, 38
491, 38
525, 38
208, 38
623, 38
58, 38
311, 38
875, 38
503, 37
49, 37
131, 37
898, 37
882, 37
374, 37
48, 37
976, 37
995, 36
275, 36
388, 36
112, 36
511, 36
211, 36
500, 35
100, 35
263, 35
509, 35
127, 35
679, 35
107, 35
1, 35
775, 35
480, 35
901, 35
842, 34
334, 34
274, 34
696, 34
529, 34
869, 34
313, 33
333, 33
916, 33
831, 33
779, 33
604, 33
82, 33
155, 33
772, 33
994, 32
153, 32
431, 32
130, 32
736, 32
122, 32
5, 32
966, 32
924, 32
989, 32
460, 32
63, 32
963, 32
514, 31
783, 31
341, 31
466, 31
23, 31
327, 31
