produit, qte
993, 66
568, 64
136, 54
389, 53
484, 53
189, 52
463, 52
672, 51
687, 50
263, 50
625, 50
801, 50
290, 48
38, 48
4, 48
224, 47
783, 47
407, 47
617, 46
937, 46
331, 45
997, 44
102, 44
69, 43
631, 43
640, 43
314, 43
732, 42
240, 42
284, 42
20, 42
526, 42
194, 41
3, 41
763, 41
368, 41
381, 40
121, 40
825, 40
776, 40
663, 40
372, 40
45, 40
932, 40
923, 39
739, 39
584, 39
699, 39
916, 39
533, 38
786, 38
437, 38
566, 38
598, 38
875, 38
104, 38
585, 38
604, 38
296, 37
404, 37
297, 37
386, 37
322, 37
748, 37
901, 36
677, 36
683, 36
728, 36
266, 36
812, 36
792, 36
803, 36
146, 36
455, 36
90, 36
707, 36
633, 35
196, 35
918, 35
65, 35
319, 35
197, 35
743, 35
151, 35
374, 35
406, 35
411, 34
366, 34
970, 34
357, 34
159, 34
715, 34
317, 34
367, 34
628, 33
423, 33
36, 33
83, 33
845, 33
784, 33
