produit, qte
378, 64
115, 60
402, 55
611, 53
692, 52
666, 50
257, 50
801, 49
205, 49
935, 48
582, 46
659, 46
650, 46
815, 45
862, 45
888, 45
165, 44
187, 44
740, 44
412, 44
891, 43
560, 43
804, 43
957, 43
686, 42
853, 42
103, 42
682, 42
331, 41
78, 41
643, 41
7, 41
843, 41
488, 40
664, 40
937, 40
848, 40
421, 40
427, 40
70, 40
541, 40
859, 39
567, 39
676, 39
790, 39
645, 39
849, 39
196, 38
614, 38
932, 38
975, 38
830, 37
800, 37
484, 37
731, 37
32, 36
121, 36
711, 36
350, 36
699, 36
607, 35
609, 35
265, 35
241, 35
821, 35
190, 35
527, 35
497, 35
347, 35
570, 35
472, 34
496, 34
677, 34
387, 34
814, 34
502, 34
186, 34
637, 33
926, 33
766, 33
93, 33
367, 33
809, 33
812, 33
991, 33
443, 33
717, 33
934, 32
455, 32
631, 32
232, 32
458, 32
94, 32
1, 32
622, 32
56, 32
955, 32
779, 32
474, 32
76, 32
