produit, qte
653, 55
460, 53
511, 53
286, 51
301, 50
324, 49
763, 48
89, 48
472, 47
44, 46
149, 45
29, 45
932, 44
619, 44
832, 42
908, 42
458, 41
168, 41
835, 41
68, 41
264, 41
419, 40
267, 40
254, 40
570, 39
221, 39
976, 39
620, 38
876, 38
877, 38
975, 38
417, 38
627, 38
384, 38
185, 37
566, 37
571, 37
381, 37
180, 37
169, 36
806, 36
263, 36
805, 36
99, 36
544, 36
679, 36
37, 36
67, 36
698, 36
420, 36
817, 36
7, 36
648, 36
241, 36
65, 35
973, 35
688, 35
123, 35
701, 35
209, 34
517, 34
729, 34
329, 34
355, 34
364, 34
522, 34
953, 34
824, 34
2, 34
262, 34
183, 34
96, 33
873, 33
885, 33
428, 33
387, 33
965, 33
524, 33
656, 33
963, 33
829, 33
904, 33
131, 33
208, 32
504, 32
900, 32
825, 32
71, 32
474, 32
613, 32
862, 32
380, 32
843, 32
797, 32
404, 32
848, 32
881, 32
866, 32
46, 31
327, 31
